track_id,track_name,artist_name,publisher_name,bundle_id,genre,app_version,price,initial_release_date,latest_release_date,avg_user_rating,rating_count,app_url,file_size_bytes,content_rating,availability,first_name,last_name,country,offer_date,savings,offer_details,app_info,service_info
"1531983371","Activity Tracker・FitnessView","Funn Media, LLC","Funn Media, LLC","com.funnmedia.fitnessview","Health & Fitness","2.6.13","Free","2021-07-14T07:00:00Z","2025-06-05T23:49:27Z","4.63034","6322","https://apps.apple.com/us/app/activity-tracker-fitnessview/id1531983371?uo=4","200255488","4+","1","Kriss","Smolka","United States","2021-12-20","34.99","FREE","",""
"1479461686","Nutrition Tracker: Foodnoms","Algebraic Labs, LLC","Algebraic Labs, LLC","com.algebraiclabs.foodnoms","Health & Fitness","2025.18","Free","2019-11-12T08:00:00Z","2025-08-05T14:06:03Z","4.75385","6045","https://apps.apple.com/us/app/nutrition-tracker-foodnoms/id1479461686?uo=4","205699072","4+","1","Ryan","Ashcraft","United States","2022-12-27","35.94","FREE SUBSCIPTION","Food_noms","Twitter"
"1605984718","Kattam - The Box","Manivanna Raja Nagendra Bharathi","Manivanna Raja Nagendra Bharathi","com.newrica.kattam","Games","2.1","$0.99","2022-02-10T08:00:00Z","2022-12-31T22:37:30Z","4.31579","19","https://apps.apple.com/us/app/kattam-the-box/id1605984718?uo=4","3467264","4+","1","Manivanna","Raja","United States","2022-12-28","0.99","FREE","",""
"1523238520","Wheel Spin & Raffle - Pick Me","Marius Caciulescu","Marius Caciulescu","tech.capps.PickMe","Entertainment","2025.7.31","Free","2020-07-19T07:00:00Z","2025-08-01T14:00:49Z","4.60903","12850","https://apps.apple.com/us/app/wheel-spin-raffle-pick-me/id1523238520?uo=4","167650304","12+","1","Marius","Capps","Ireland","2023-01-01","9.99","FREE","PickMeTheApp","Twitter"
"1086750452","Moderation Mindful Food Diary","Pixelfolio.co.uk","Dominic Williams","co.uk.pixelfolio.Moderation","Health & Fitness","2025.2","Free","2018-10-14T13:27:51Z","2025-05-19T10:26:28Z","4.08491","106","https://apps.apple.com/us/app/moderation-mindful-food-diary/id1086750452?uo=4","52997120","4+","1","Dominic","Williams","United Kingdom","2022-12-31","","FREE SUBSCIPTION","",""
"1614085893","Amato: Friendship Tracker CRM","Anika Seibezeder","Anika Seibezeder","at.appnest.amato","Social Networking","2.2.3","Free","2022-05-31T07:00:00Z","2024-03-25T15:47:43Z","4.63333","60","https://apps.apple.com/us/app/amato-friendship-tracker-crm/id1614085893?uo=4","11908096","4+","1","Anika","Seibezeder","Austria","2023-01-05","24.99","FREE","AmatoApp","Twitter"
"1587904334","Noteful: Notes & PDF Markup","Noteful Technologies Ltd","Noteful Technologies Ltd","com.noteful-technologies.noteful","Productivity","1.4.25","Free","2021-10-18T07:00:00Z","2025-07-31T23:54:14Z","4.75189","17214","https://apps.apple.com/us/app/noteful-notes-pdf-markup/id1587904334?uo=4","163742720","4+","1","","","","2023-01-03","","DISCOUNT","Getnoteful","Twitter"
"1541592138","Learn Japanese Kanji: Benkyō","Romain Pellen","App to Learn Pte. Ltd.","app.benkyo.Benkyo","Education","2.4.1","Free","2020-12-30T08:00:00Z","2024-12-26T08:13:23Z","4.75115","2588","https://apps.apple.com/us/app/learn-japanese-kanji-benky%C5%8D/id1541592138?uo=4","153334784","4+","1","Romain","Pellen","Japan","2023-01-02","","DISCOUNT","BenkyoApp","Twitter"
"1541592138","Learn Japanese Kanji: Benkyō","Romain Pellen","App to Learn Pte. Ltd.","app.benkyo.Benkyo","Education","2.4.1","Free","2020-12-30T08:00:00Z","2024-12-26T08:13:23Z","4.75115","2588","https://apps.apple.com/us/app/learn-japanese-kanji-benky%C5%8D/id1541592138?uo=4","153334784","4+","1","","","","2021-01-30","","PARTIALY FREE","",""
"1445348921","Days Since: Quit Habit Tracker","A Couple of Friends OOD","A Couple of Friends OOD","npetrova.DaysSince","Health & Fitness","3.0.10","Free","2019-08-17T07:00:00Z","2025-07-29T12:37:29Z","4.835","15043","https://apps.apple.com/us/app/days-since-quit-habit-tracker/id1445348921?uo=4","70393856","12+","1","Ivelin","Davidov","Bulgaria","2023-01-04","49.99","FREE","",""
